window,1,2,4,8
0,0,0,0,0
1,2144456704,4168249344,7728676864,10072363008
2,3001110528,5843394560,10872033280,13706256384
4,5524185088,10413453312,17973923840,26108264448
8,10936887296,19176837120,30996135936,38879356928
