schema_version,experiment_id,workload_name,workload_hash,baseline,candidate_source,bank_count,capacity_bytes,bandwidth_bytes_per_cycle,ports_per_bank,request_buffer_depth,compute_cycles,bank_stall_cycles,weight_load_stall_cycles,prefetch_miss_stall_cycles,prefetch_interference_stall_cycles,mapping_overhead_cycles,communication_stall_cycles,other_stall_cycles,total_cycles,bank_conflict_count,bank_conflict_rate,bank_imbalance,hotspot_bank_ratio,idle_bank_ratio,effective_bank_parallelism,max_queue_depth,prefetch_requests,prefetch_bytes,prefetch_coverage,prefetch_accuracy,timely_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,prefetch_occupancy_byte_cycles,compute_transfer_overlap_cycles,mapping_count,mapping_failures,peak_occupied_bytes,fallback_used,selected_candidate,window,chunk_tiles
1,date2-window_chunk-w1_c4,MoDSE,1139475b7e5fca471c0da099e74836605281943aee639b22e63964f6510217fa,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,78040,39624,0,32,0,0,1525952,1791,0.981907894736842,0.1967827567910048,0.0,0.0,0.1655472862588491,32,14,471040,0.4375,1.0,0.0,1.0,0.0,1575501824,6824,32,8,1409024,False,,1,4
1,date2-window_chunk-w1_c4,MoDSE,1139475b7e5fca471c0da099e74836605281943aee639b22e63964f6510217fa,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,115360,0,0,32,0,0,1523648,1788,0.9802631578947368,0.3004305927990124,0.0833333333333333,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,6520,32,26,1298432,True,Dynamic-NoPF,1,4
1,date2-window_chunk-w1_c8,MoDSE,023b0304797f3592f8424f79b52169ec0622a49ce226a2e56618b85d30eac8d7,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,55592,19056,0,20,0,0,1482924,1792,0.9824561403508772,0.1965993789142623,0.0416666666666666,0.0,0.1655472862588491,32,8,401408,0.4,1.0,0.0,1.0,0.0,1338114048,7392,20,3,1402880,False,,1,8
1,date2-window_chunk-w1_c8,MoDSE,023b0304797f3592f8424f79b52169ec0622a49ce226a2e56618b85d30eac8d7,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,70936,0,0,20,0,0,1479212,1791,0.981907894736842,0.2203701871637398,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,6560,20,3,1404928,True,Dynamic-NoPF,1,8
1,date2-window_chunk-w2_c1,MoDSE,7128d430cb56d6ba91cd116f303098d970180d9a58f9f9ade05e02a2649c08e9,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,171104,90816,0,98,0,0,1670274,1792,0.9824561403508772,0.1352556486413094,0.0,0.0,0.1655472862588491,32,38,520192,0.3877551020408163,1.0,0.0,1.0,0.0,1245544448,5632,98,0,1474560,False,,2,1
1,date2-window_chunk-w2_c1,MoDSE,7128d430cb56d6ba91cd116f303098d970180d9a58f9f9ade05e02a2649c08e9,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,248944,0,0,98,0,0,1657298,1792,0.9824561403508772,0.1459281119264397,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,5600,98,0,1466368,True,Dynamic-NoPF,2,1
1,date2-window_chunk-w2_c2,MoDSE,1a34002337e5620678ee141a94d968d0d35d56dc4109c3eac1a620e7fd989785,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,118480,61360,0,54,0,0,1588150,1792,0.9824561403508772,0.1725641716921579,0.0,0.0,0.1655472862588491,32,22,487424,0.4074074074074074,1.0,0.0,1.0,0.0,1370177536,6072,54,16,1443840,False,,2,2
1,date2-window_chunk-w2_c2,MoDSE,1a34002337e5620678ee141a94d968d0d35d56dc4109c3eac1a620e7fd989785,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,163760,0,0,54,0,0,1572070,1792,0.9824561403508772,0.2031322136299896,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,5600,54,4,1435648,True,Dynamic-NoPF,2,2
1,date2-window_chunk-w2_c4,MoDSE,e4e18b1f06e3fd8029fa9c636d822c2bbbc74cc8ce33163dbcbaba55df0eb33a,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,78032,39496,0,32,0,0,1525816,1791,0.981907894736842,0.1967827567910048,0.0,0.0,0.1655472862588491,32,14,471040,0.4375,1.0,0.0,1.0,0.0,1575501824,6816,32,8,1409024,False,,2,4
1,date2-window_chunk-w2_c4,MoDSE,e4e18b1f06e3fd8029fa9c636d822c2bbbc74cc8ce33163dbcbaba55df0eb33a,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,115360,0,0,32,0,0,1523648,1788,0.9802631578947368,0.3004305927990124,0.0833333333333333,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,6520,32,26,1298432,True,Dynamic-NoPF,2,4
