,Naive prefetch,Dynamic mapping,Joint optimization,Safe guard net effect
HMoE,48.32778352515194,2.0907304000542193,22.14400204484821,-0.23528607092779819
MoDSE,43.082794618677376,0.7635857834908166,13.138841361443799,0.06565988181220783
Mixtral,49.23821139892088,2.4184774704017253,16.509467709625103,-0.2599313038696982
Switchtrans,48.08870116156283,0.40538184354295126,14.799766576701433,-0.019691612229344457
