model_class,Dynamic-NaivePF,MemDomain-Raw,MemDomain-Safe,Oracle,Static-NaivePF
Homogeneous,1.8726656169512639,0.8444372674448108,1.0,1.9481743214739033,1.9481743214739033
Heterogeneous,1.7843747364282017,1.217222230006492,1.385973568622898,1.8536115646499889,1.8461069873456193
