,Static-NaivePF,Dynamic-NaivePF,MemDomain-Raw,MemDomain-Safe
HMoE,48.32778352515194,49.408110263373416,60.61117936117937,60.51850295271348
MoDSE,43.082794618677376,43.51740630732943,50.93856468943828,50.97077836987858
Mixtral,49.23821139892088,50.46587381981094,58.6436943867742,58.536196402361405
Switchtrans,48.08870116156283,48.299140141801175,55.950746718962144,55.942072710816106
