ia_banks,weight_banks,oa_banks,total_cycles,memory_stall_cycles,bank_conflicts,hotspot_ratio,idle_ratio,normalized_cycles
1,1,22,261520,173568,4767,0.07789855072463765,0.07971014492753623,2.332001712084463
1,2,21,224752,136800,4761,0.09963768115942026,0.06884057971014493,2.0041375374518475
1,3,20,216688,128736,4756,0.12862318840579703,0.05978260869565216,1.9322299900128406
1,4,19,213520,125568,4751,0.15036231884057966,0.05072463768115942,1.9039805963760879
1,5,18,212272,124320,4746,0.1684782608695652,0.041666666666666664,1.8928520473676702
1,6,17,211552,123600,4744,0.19384057971014493,0.03804347826086956,1.8864317306320446
1,7,16,211312,123360,4742,0.20833333333333331,0.034420289855072464,1.8842916250535027
1,8,15,211312,123360,4741,0.1865942028985507,0.03260869565217391,1.8842916250535027
1,9,14,211312,123360,4743,0.11413043478260863,0.03623188405797101,1.8842916250535027
1,10,13,211312,123360,4745,0.10144927536231879,0.03985507246376811,1.8842916250535027
1,11,12,211312,123360,4747,0.07065217391304342,0.043478260869565216,1.8842916250535027
1,12,11,211312,123360,4749,0.06159420289855066,0.04710144927536231,1.8842916250535027
1,13,10,211312,123360,4751,0.059782608695652106,0.05072463768115942,1.8842916250535027
1,14,9,211312,123360,4753,0.05797101449275356,0.05434782608695652,1.8842916250535027
1,15,8,211312,123360,4755,0.06340579710144921,0.05797101449275363,1.8842916250535027
1,16,7,211632,123680,4757,0.1304347826086956,0.06159420289855072,1.887145099158225
1,17,6,212016,124064,4759,0.11775362318840576,0.06521739130434782,1.8905692680838921
1,18,5,212592,124640,4761,0.12681159420289853,0.06884057971014493,1.8957055214723926
1,19,4,213584,125632,4765,0.1376811594202898,0.07608695652173912,1.9045512911970324
1,20,3,216368,128416,4770,0.12318840579710137,0.08514492753623189,1.9293765159081182
1,21,2,223120,135168,4775,0.09963768115942026,0.09420289855072463,1.9895848195177628
1,22,1,246864,158912,4780,0.08152173913043474,0.10326086956521739,2.2013125980881725
2,1,21,220048,132096,4760,0.09782608695652172,0.06702898550724638,1.9621914681124268
2,2,20,174736,86784,4755,0.11956521739130431,0.05797101449275362,1.558139534883721
2,3,19,161456,73504,4750,0.14855072463768113,0.04891304347826086,1.4397203595377372
2,4,18,156528,68576,4745,0.17028985507246375,0.03985507246376812,1.3957768583250107
2,5,17,153904,65952,4743,0.18840579710144925,0.03623188405797101,1.3723783706662862
2,6,16,152368,64416,4741,0.21376811594202896,0.03260869565217391,1.3586816949636182
2,7,15,151664,63712,4740,0.22826086956521738,0.030797101449275364,1.3524040519332288
2,8,14,151152,63200,4740,0.21376811594202896,0.030797101449275364,1.3478384933656726
2,9,13,150704,62752,4742,0.15036231884057968,0.034420289855072464,1.3438436296190612
2,10,12,150640,62688,4744,0.11956521739130432,0.03804347826086957,1.3432729347981167
2,11,11,150640,62688,4746,0.08876811594202896,0.04166666666666667,1.3432729347981167
2,12,10,150576,62624,4748,0.07971014492753621,0.04528985507246376,1.3427022399771722
2,13,9,150656,62704,4750,0.07789855072463765,0.04891304347826087,1.3434156085033528
2,14,8,150912,62960,4752,0.0833333333333333,0.052536231884057975,1.345698387787131
2,15,7,151552,63600,4754,0.15036231884057968,0.05615942028985508,1.3514053359965759
2,16,6,152256,64304,4756,0.13768115942028983,0.059782608695652176,1.3576829790269653
2,17,5,153624,65672,4758,0.1467391304347826,0.06340579710144928,1.369881580824654
2,18,4,155664,67712,4760,0.15760869565217386,0.06702898550724638,1.38807247824226
2,19,3,159624,71672,4765,0.14311594202898548,0.07608695652173912,1.4233842202882008
2,20,2,167504,79552,4770,0.11956521739130431,0.08514492753623189,1.4936510201169924
2,21,1,216976,129024,4775,0.10144927536231883,0.09420289855072463,1.934798116707091
3,1,20,206928,118976,4754,0.1231884057971014,0.056159420289855065,1.8451990298188043
3,2,19,161104,73152,4749,0.14492753623188404,0.047101449275362306,1.4365815380225424
3,3,18,146128,58176,4744,0.17391304347826086,0.03804347826086957,1.3030389499215294
3,4,17,139664,51712,4742,0.1956521739130435,0.03442028985507246,1.2453987730061349
3,5,16,136208,48256,4740,0.21376811594202896,0.03079710144927536,1.214581252675132
3,6,15,134096,46144,4739,0.2391304347826087,0.02898550724637681,1.1957483235839634
3,7,14,133096,45144,4739,0.2608695652173913,0.02898550724637681,1.1868312170067057
3,8,13,132328,44376,4739,0.2554347826086957,0.02898550724637681,1.1799828791553717
3,9,12,131688,43736,4741,0.17391304347826086,0.032608695652173905,1.1742759309459267
3,10,11,131496,43544,4743,0.1431159420289855,0.03623188405797101,1.1725638464830932
3,11,10,131368,43416,4745,0.11231884057971013,0.03985507246376811,1.1714224568412042
3,12,9,131432,43480,4747,0.10326086956521739,0.04347826086956521,1.1719931516621487
3,13,8,131688,43736,4749,0.10869565217391304,0.047101449275362306,1.1742759309459267
3,14,7,132392,44440,4751,0.17572463768115942,0.05072463768115942,1.1805535739763162
3,15,6,133160,45208,4753,0.16304347826086957,0.05434782608695652,1.1874019118276502
3,16,5,134928,46976,4755,0.1721014492753623,0.05797101449275362,1.203167356256242
3,17,4,137160,49208,4757,0.1829710144927536,0.06159420289855072,1.2230703381366814
3,18,3,141120,53168,4760,0.16847826086956522,0.06702898550724638,1.2583820801826224
3,19,2,157576,69624,4765,0.14492753623188404,0.07608695652173912,1.4051219860179769
3,20,1,208176,120224,4770,0.12681159420289848,0.08514492753623189,1.8563275788272222
4,1,19,200464,112512,4748,0.13949275362318836,0.04528985507246376,1.7875588529034099
4,2,18,154448,66496,4743,0.16123188405797098,0.03623188405797101,1.3772292766443144
4,3,17,139344,51392,4741,0.19021739130434784,0.032608695652173905,1.2425452989014125
4,4,16,132112,44160,4739,0.2119565217391304,0.02898550724637681,1.178056784134684
4,5,15,128336,40384,4738,0.2300724637681159,0.02717391304347826,1.1443857896989584
4,6,14,125488,37536,4738,0.26268115942028986,0.02717391304347826,1.1189898701669283
4,7,13,124400,36448,4738,0.2934782608695652,0.02717391304347826,1.1092880582108717
4,8,12,123504,35552,4738,0.269927536231884,0.02717391304347826,1.1012983307176487
4,9,11,122608,34656,4740,0.18840579710144922,0.03079710144927536,1.0933086032244257
4,10,10,122352,34400,4742,0.15760869565217386,0.034420289855072464,1.0910258239406478
4,11,9,122416,34464,4744,0.1268115942028985,0.03804347826086957,1.0915965187615921
4,12,8,122480,34528,4746,0.12499999999999996,0.041666666666666664,1.0921672135825367
4,13,7,123120,35168,4748,0.19202898550724634,0.04528985507246376,1.0978741617919818
4,14,6,124016,36064,4750,0.17934782608695649,0.04891304347826087,1.1058638892852046
4,15,5,125720,37768,4752,0.18840579710144922,0.052536231884057975,1.121058638892852
4,16,4,127952,40000,4754,0.19927536231884052,0.056159420289855065,1.1409616207732916
4,17,3,136136,48184,4757,0.18478260869565213,0.06159420289855072,1.2139392210015694
