schema_version,experiment_id,workload_name,workload_hash,baseline,candidate_source,bank_count,capacity_bytes,bandwidth_bytes_per_cycle,ports_per_bank,request_buffer_depth,compute_cycles,bank_stall_cycles,weight_load_stall_cycles,prefetch_miss_stall_cycles,prefetch_interference_stall_cycles,mapping_overhead_cycles,communication_stall_cycles,other_stall_cycles,total_cycles,bank_conflict_count,bank_conflict_rate,bank_imbalance,hotspot_bank_ratio,idle_bank_ratio,effective_bank_parallelism,max_queue_depth,prefetch_requests,prefetch_bytes,prefetch_coverage,prefetch_accuracy,timely_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,prefetch_occupancy_byte_cycles,compute_transfer_overlap_cycles,mapping_count,mapping_failures,peak_occupied_bytes,fallback_used,selected_candidate,model,normalized_cycles,speedup
1,date2-overall-Mixtral,Mixtral,6566dbc5eafe4c05ac060e0390eb36840e7865ed4ccbd335083565cf80462770,MemDomain-Raw,measured,24,1572864,384.0,1,32,2206720,1024,762136,77152,0,192,0,0,3047224,3376,0.9906103286384976,0.0459998073762099,0.0,0.0,0.1974050046339203,32,32,518144,0.1666666666666666,1.0,0.0,1.0,0.0,1260273664,9264,192,3139,1556480,False,,Mixtral,0.6794074628995433,1.471870791251316
1,date2-overall-Mixtral,Mixtral,6566dbc5eafe4c05ac060e0390eb36840e7865ed4ccbd335083565cf80462770,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,2206720,1024,831280,0,0,192,0,0,3039216,3376,0.9906103286384976,0.0820253765711556,0.0,0.0,0.1974050046339203,32,0,0,0.0,0.0,0.0,0.0,0.0,0,9264,192,3076,1556480,True,Dynamic-NoPF,Mixtral,0.6776220034246575,1.475749008954941
1,date2-overall-Mixtral,Mixtral,6566dbc5eafe4c05ac060e0390eb36840e7865ed4ccbd335083565cf80462770,Oracle,Dynamic-NaivePF|Dynamic-NoPF|MemDomain-Raw|MemDomain-Safe|Static-NaivePF|Static-NoPF,24,1572864,384.0,1,32,2206720,1024,568624,260480,0,192,0,0,3037040,3376,0.9906103286384976,0.0820253765711556,0.0,0.0,0.1974050046339203,32,96,1548288,0.5,1.0,0.0,1.0,0.0,4243423232,9280,192,3076,1556480,False,Dynamic-NaivePF,Mixtral,0.677136843607306,1.476806364091352
1,date2-overall-MoDSE,MoDSE,9b1653048ffb6d221845a868ebdcc21881899b6b8020fe337d35c24783b76a84,Static-NoPF,exhaustive_cyclic_static_weight_groups:8:9:10:11:12:13:14:15,24,1572864,384.0,1,32,1407232,1024,563360,0,0,0,0,0,1971616,1800,0.986842105263158,0.9693478593319867,0.3333333333333333,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,12200,98,2081,524288,False,,MoDSE,1.0,1.0
1,date2-overall-MoDSE,MoDSE,9b1653048ffb6d221845a868ebdcc21881899b6b8020fe337d35c24783b76a84,Static-NaivePF,exhaustive_cyclic_static_weight_groups:8:9:10:11:12:13:14:15,24,1572864,384.0,1,32,1407232,1024,470328,90952,0,0,0,0,1969536,1800,0.986842105263158,0.9693478593319867,0.3333333333333333,0.0,0.1655472862588491,32,38,516096,0.3877551020408163,1.0,0.0,1.0,0.0,1223311360,12216,98,1928,524288,False,,MoDSE,0.9989450278350348,1.0010560863066225
1,date2-overall-MoDSE,MoDSE,9b1653048ffb6d221845a868ebdcc21881899b6b8020fe337d35c24783b76a84,Dynamic-NoPF,measured,24,1572864,384.0,1,32,1407232,1024,248944,0,0,98,0,0,1657298,1792,0.9824561403508772,0.1459281119264397,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,5600,98,0,1466368,False,,MoDSE,0.8405784899290734,1.1896568993626977
1,date2-overall-MoDSE,MoDSE,9b1653048ffb6d221845a868ebdcc21881899b6b8020fe337d35c24783b76a84,Dynamic-NaivePF,measured,24,1572864,384.0,1,32,1407232,1024,0,247888,0,98,0,0,1656242,1792,0.9824561403508772,0.1459281119264397,0.0,0.0,0.1655472862588491,32,98,1474560,1.0,1.0,0.0,1.0,0.0,3909779456,5632,98,0,1466368,False,,MoDSE,0.8400428886760911,1.190415410308397
1,date2-overall-MoDSE,MoDSE,9b1653048ffb6d221845a868ebdcc21881899b6b8020fe337d35c24783b76a84,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,171104,90816,0,98,0,0,1670274,1792,0.9824561403508772,0.1352556486413094,0.0,0.0,0.1655472862588491,32,38,520192,0.3877551020408163,1.0,0.0,1.0,0.0,1245544448,5632,98,0,1474560,False,,MoDSE,0.8471598932043563,1.1804147104008085
1,date2-overall-MoDSE,MoDSE,9b1653048ffb6d221845a868ebdcc21881899b6b8020fe337d35c24783b76a84,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,248944,0,0,98,0,0,1657298,1792,0.9824561403508772,0.1459281119264397,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,5600,98,0,1466368,True,Dynamic-NoPF,MoDSE,0.8405784899290734,1.1896568993626977
1,date2-overall-MoDSE,MoDSE,9b1653048ffb6d221845a868ebdcc21881899b6b8020fe337d35c24783b76a84,Oracle,Dynamic-NaivePF|Dynamic-NoPF|MemDomain-Raw|MemDomain-Safe|Static-NaivePF|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,0,247888,0,98,0,0,1656242,1792,0.9824561403508772,0.1459281119264397,0.0,0.0,0.1655472862588491,32,98,1474560,1.0,1.0,0.0,1.0,0.0,3909779456,5632,98,0,1466368,False,Dynamic-NaivePF,MoDSE,0.8400428886760911,1.190415410308397
1,date2-overall-Switchtrans,Switchtrans,12854dde12deeadd74a54f76650e72bef687e33b8edf1d096724f16d43cf0096,Static-NoPF,exhaustive_cyclic_static_weight_groups:8:9:10:11:12:13:14:15,24,1572864,384.0,1,32,1838080,1024,1322496,0,0,0,0,0,3161600,2664,0.9910714285714286,1.1111677990074318,0.3333333333333333,0.0,0.1868743047830923,32,0,0,0.0,0.0,0.0,0.0,0.0,0,18488,144,6228,524288,False,,Switchtrans,1.0,1.0
1,date2-overall-Switchtrans,Switchtrans,12854dde12deeadd74a54f76650e72bef687e33b8edf1d096724f16d43cf0096,Static-NaivePF,exhaustive_cyclic_static_weight_groups:8:9:10:11:12:13:14:15,24,1572864,384.0,1,32,1838080,1024,1241296,78176,0,0,0,0,3158576,2664,0.9910714285714286,1.1111677990074318,0.3333333333333333,0.0,0.1868743047830923,32,32,524288,0.2222222222222222,1.0,0.0,1.0,0.0,1289879552,18504,144,5415,524288,False,,Switchtrans,0.9990435222672065,1.000957393458318
1,date2-overall-Switchtrans,Switchtrans,12854dde12deeadd74a54f76650e72bef687e33b8edf1d096724f16d43cf0096,Dynamic-NoPF,measured,24,1572864,384.0,1,32,1838080,1024,514720,0,0,144,0,0,2353968,2656,0.988095238095238,0.0583211843519804,0.0,0.0,0.1868743047830923,32,0,0,0.0,0.0,0.0,0.0,0.0,0,7288,144,1056,1572864,False,,Switchtrans,0.7445495951417004,1.343093873833459
1,date2-overall-Switchtrans,Switchtrans,12854dde12deeadd74a54f76650e72bef687e33b8edf1d096724f16d43cf0096,Dynamic-NaivePF,measured,24,1572864,384.0,1,32,1838080,1024,248736,264320,0,144,0,0,2352304,2656,0.988095238095238,0.0583211843519804,0.0,0.0,0.1868743047830923,32,96,1572864,0.6666666666666666,1.0,0.0,1.0,0.0,4356440064,7304,144,1056,1572864,False,,Switchtrans,0.7440232793522267,1.3440439671062925
1,date2-overall-Switchtrans,Switchtrans,12854dde12deeadd74a54f76650e72bef687e33b8edf1d096724f16d43cf0096,MemDomain-Raw,measured,24,1572864,384.0,1,32,1838080,1024,441000,78176,0,144,0,0,2358424,2656,0.988095238095238,0.0583211843519804,0.0,0.0,0.1868743047830923,32,32,524288,0.2222222222222222,1.0,0.0,1.0,0.0,1289879552,7240,144,906,1572864,False,,Switchtrans,0.745959008097166,1.340556235859201
1,date2-overall-Switchtrans,Switchtrans,12854dde12deeadd74a54f76650e72bef687e33b8edf1d096724f16d43cf0096,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1838080,1024,514720,0,0,144,0,0,2353968,2656,0.988095238095238,0.0583211843519804,0.0,0.0,0.1868743047830923,32,0,0,0.0,0.0,0.0,0.0,0.0,0,7288,144,1056,1572864,True,Dynamic-NoPF,Switchtrans,0.7445495951417004,1.343093873833459
1,date2-overall-Switchtrans,Switchtrans,12854dde12deeadd74a54f76650e72bef687e33b8edf1d096724f16d43cf0096,Oracle,Dynamic-NaivePF|Dynamic-NoPF|MemDomain-Raw|MemDomain-Safe|Static-NaivePF|Static-NoPF,24,1572864,384.0,1,32,1838080,1024,248736,264320,0,144,0,0,2352304,2656,0.988095238095238,0.0583211843519804,0.0,0.0,0.1868743047830923,32,96,1572864,0.6666666666666666,1.0,0.0,1.0,0.0,4356440064,7304,144,1056,1572864,False,Dynamic-NaivePF,Switchtrans,0.7440232793522267,1.3440439671062925
