window,chunk_tiles,cycle_change_percent,interference_change_percent,conflict_delta
1,1,-2.5413178793732616,-32.037996545768564,-19
1,2,0.11085844229676844,3.8834951456310662,-21
1,4,1.3344892274458564,-16.468253968253965,-6
1,8,4.047304388385742,3.3653846153846256,-13
2,1,-2.6521501629339417,-23.069403714565006,-20
2,2,2.007198736548288,-17.821782178217827,-14
2,4,3.964741827620699,-4.557860262008728,-13
2,8,6.9646302250803815,-29.257641921397383,-18
4,1,-0.5208736521979507,-20.23460410557185,-16
4,2,6.006522122333857,-5.825242718446599,-23
4,4,11.844281413002001,-2.8611111111111143,-10
4,8,7.404771148785638,-19.213973799126638,-15
8,1,-0.22958929026962727,-20.23460410557185,-24
8,2,8.055512653619568,4.123711340206193,-12
8,4,16.785282953761204,-31.058951965065507,-13
8,8,8.282744464340297,0.6329113924050667,-15
