layer,layer_type,ia_banks,weight_banks,oa_banks,total_cycles,memory_stall_cycles,bank_conflict_count,bank_conflict_rate,hotspot_bank_ratio,idle_bank_ratio,max_queue_depth,total_cycles_best,slowdown,ratio
MoE-E6-FF2,Expert-FF2,4,14,6,2530,640,122,0.8356164383561644,0.1666666666666666,0.0,10,2338,1.0821214713430283,4:14:6
MoE-E7-FF1,Expert-FF1,4,14,6,2158,448,117,0.8297872340425532,0.0,0.0,7,2094,1.0305635148042025,4:14:6
MoE-E7-FF2,Expert-FF2,4,14,6,2286,576,117,0.8297872340425532,0.125,0.0,9,2094,1.0916905444126075,4:14:6
Attn_Q_proj,Non-MoE,2,11,11,15360,6144,396,0.9428571428571428,0.0833333333333333,0.0,32,10368,1.4814814814814814,2:11:11
Attn_K_proj,Non-MoE,2,11,11,15360,6144,396,0.9428571428571428,0.0833333333333333,0.0,32,10368,1.4814814814814814,2:11:11
Attn_V_proj,Non-MoE,2,11,11,15360,6144,396,0.9428571428571428,0.0833333333333333,0.0,32,10368,1.4814814814814814,2:11:11
QKT_head,Non-MoE,2,11,11,3584,1536,275,0.929054054054054,0.4583333333333333,0.125,24,2880,1.2444444444444445,2:11:11
QKTV_head,Non-MoE,2,11,11,10240,8192,275,0.929054054054054,0.0833333333333333,0.125,32,2880,3.5555555555555554,2:11:11
Attn_O_proj,Non-MoE,2,11,11,15360,6144,396,0.9428571428571428,0.0833333333333333,0.0,32,10368,1.4814814814814814,2:11:11
Router_logits,Non-MoE,2,11,11,6336,6144,190,0.964467005076142,0.0833333333333333,0.7083333333333334,32,768,8.25,2:11:11
MoE-E0-FF1,Expert-FF1,2,11,11,6144,960,270,0.9183673469387756,0.0,0.0,15,6016,1.0212765957446808,2:11:11
MoE-E0-FF2,Expert-FF2,2,11,11,8640,3456,270,0.9183673469387756,0.0833333333333333,0.0,32,6016,1.4361702127659575,2:11:11
MoE-E1-FF1,Expert-FF1,2,11,11,2016,1152,48,0.6666666666666666,0.0833333333333333,0.0,18,1056,1.9090909090909092,2:11:11
MoE-E1-FF2,Expert-FF2,2,11,11,1440,576,48,0.6666666666666666,0.0833333333333333,0.0,9,1056,1.3636363636363635,2:11:11
MoE-E2-FF1,Expert-FF1,2,11,11,8416,1216,308,0.927710843373494,0.0,0.0,19,8160,1.031372549019608,2:11:11
MoE-E2-FF2,Expert-FF2,2,11,11,12000,4800,308,0.927710843373494,0.0833333333333333,0.0,32,8160,1.4705882352941178,2:11:11
MoE-E3-FF1,Expert-FF1,2,11,11,1440,576,48,0.6666666666666666,0.0833333333333333,0.0,9,1056,1.3636363636363635,2:11:11
MoE-E3-FF2,Expert-FF2,2,11,11,1440,576,48,0.6666666666666666,0.0833333333333333,0.0,9,1056,1.3636363636363635,2:11:11
MoE-E4-FF1,Expert-FF1,2,11,11,4504,832,187,0.8862559241706162,0.0,0.0,13,4248,1.0602636534839924,2:11:11
MoE-E4-FF2,Expert-FF2,2,11,11,6136,2464,187,0.8862559241706162,0.0833333333333333,0.0,32,4248,1.4444444444444444,2:11:11
MoE-E5-FF1,Expert-FF1,2,11,11,2720,704,111,0.8222222222222222,0.0833333333333333,0.0,11,2400,1.1333333333333333,2:11:11
MoE-E5-FF2,Expert-FF2,2,11,11,3360,1344,111,0.8222222222222222,0.0833333333333333,0.0,21,2400,1.4,2:11:11
MoE-E6-FF1,Expert-FF1,2,11,11,2466,576,122,0.8356164383561644,0.0,0.0,9,2338,1.0547476475620188,2:11:11
MoE-E6-FF2,Expert-FF2,2,11,11,3170,1280,122,0.8356164383561644,0.0833333333333333,0.0,20,2338,1.3558597091531224,2:11:11
MoE-E7-FF1,Expert-FF1,2,11,11,2286,576,117,0.8297872340425532,0.0833333333333333,0.0,9,2094,1.0916905444126075,2:11:11
MoE-E7-FF2,Expert-FF2,2,11,11,2862,1152,117,0.8297872340425532,0.1666666666666666,0.0,18,2094,1.3667621776504297,2:11:11
