schema_version,experiment_id,workload_name,workload_hash,baseline,candidate_source,bank_count,capacity_bytes,bandwidth_bytes_per_cycle,ports_per_bank,request_buffer_depth,compute_cycles,bank_stall_cycles,weight_load_stall_cycles,prefetch_miss_stall_cycles,prefetch_interference_stall_cycles,mapping_overhead_cycles,communication_stall_cycles,other_stall_cycles,total_cycles,bank_conflict_count,bank_conflict_rate,bank_imbalance,hotspot_bank_ratio,idle_bank_ratio,effective_bank_parallelism,max_queue_depth,prefetch_requests,prefetch_bytes,prefetch_coverage,prefetch_accuracy,timely_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,prefetch_occupancy_byte_cycles,compute_transfer_overlap_cycles,mapping_count,mapping_failures,peak_occupied_bytes,fallback_used,selected_candidate,mapping_work_cycles,mapping_hidden_cycles,model,model_class,normalized_cycles,speedup_vs_static_nopf
1,date2-overall-Mixtral,Mixtral,e416578ffceb9bf20a462b407f237f8977cd6634f6d0a777b92f2acbfe5e0d11,Dynamic-NaivePF,measured:layer_guarded_dynamic_mapping,24,1572864,384.0,1,32,137984,1412,0,27249,1023,60,0,0,167728,5188,0.9223111111111112,0.5137970497612632,0.2083333333333333,0.0,2.5998495457438806,32,192,3096576,1.0,1.0,0.4010416666666667,0.5989583333333334,0.0,4909588480,97300,192,0,65536,True,,192,132,Mixtral,Homogeneous,0.49534126180189064,2.0188102165410666
1,date2-overall-Mixtral,Mixtral,e416578ffceb9bf20a462b407f237f8977cd6634f6d0a777b92f2acbfe5e0d11,MemDomain-Raw,measured:adaptive_window=8,24,1572864,384.0,1,32,137984,1412,0,0,641,0,0,0,140037,5192,0.9230222222222222,0.6125221347507649,0.2916666666666667,0.0,2.625775297151582,32,192,3096576,1.0,1.0,1.0,0.0,0.0,17742970880,95767,192,0,131072,False,,192,192,Mixtral,Homogeneous,0.41356305613225797,2.418010954247806
1,date2-overall-Mixtral,Mixtral,e416578ffceb9bf20a462b407f237f8977cd6634f6d0a777b92f2acbfe5e0d11,MemDomain-Safe,measured:adaptive_window=8,24,1572864,384.0,1,32,137984,1412,0,0,1005,0,0,0,140401,5205,0.9253333333333332,0.726201847271428,0.3333333333333333,0.0,2.625775297151582,32,192,3096576,1.0,1.0,1.0,0.0,0.0,17746036736,95767,192,0,131072,True,Online-Guarded-Full,2,2,Mixtral,Homogeneous,0.4146380359763859,2.4117420816091055
1,date2-overall-Mixtral,Mixtral,e416578ffceb9bf20a462b407f237f8977cd6634f6d0a777b92f2acbfe5e0d11,Oracle,Dynamic-NaivePF|Dynamic-NoPF|MemDomain-Raw|MemDomain-Safe|Static-NaivePF|Static-NoPF,24,1572864,384.0,1,32,137984,1412,0,0,641,0,0,0,140037,5192,0.9230222222222222,0.6125221347507649,0.2916666666666667,0.0,2.625775297151582,32,192,3096576,1.0,1.0,1.0,0.0,0.0,17742970880,95767,192,0,131072,False,MemDomain-Raw,192,192,Mixtral,Homogeneous,0.41356305613225797,2.418010954247806
1,date2-overall-MoDSE,MoDSE,e07794dc1157c14f68e2b4aa0f780214e54c35cce361b81e07d6242ac4bc68c7,Static-NoPF,exhaustive_cyclic_static_weight_groups:3:4:5:6:7:8:9:10,24,1572864,384.0,1,32,88016,1024,93354,0,758,0,0,0,183152,2663,0.8882588392261508,0.7008870819843283,0.3333333333333333,0.0,2.1575465211951803,24,0,0,0.0,0.0,0.0,0.0,0.0,0,46153,98,0,75776,False,,0,0,MoDSE,Heterogeneous,1.0,1.0
1,date2-overall-MoDSE,MoDSE,e07794dc1157c14f68e2b4aa0f780214e54c35cce361b81e07d6242ac4bc68c7,Static-NaivePF,exhaustive_cyclic_static_weight_groups:20:21:22:23:0:1:2:3,24,1572864,384.0,1,32,88016,1024,0,14246,959,0,0,0,104245,2663,0.8882588392261508,0.6912216898072133,0.3333333333333333,0.0,2.171497283132735,32,98,1474560,1.0,1.0,0.4183673469387755,0.5816326530612245,0.0,3008296960,48921,98,0,75776,False,,0,0,MoDSE,Heterogeneous,0.5691720538132262,1.756937982637057
1,date2-overall-MoDSE,MoDSE,e07794dc1157c14f68e2b4aa0f780214e54c35cce361b81e07d6242ac4bc68c7,Dynamic-NoPF,incumbent_static_mapping|exhaustive_cyclic_static_weight_groups:3:4:5:6:7:8:9:10,24,1572864,384.0,1,32,88016,1024,93354,0,758,0,0,0,183152,2663,0.8882588392261508,0.7008870819843283,0.3333333333333333,0.0,2.1575465211951803,24,0,0,0.0,0.0,0.0,0.0,0.0,0,46153,98,0,75776,False,,0,0,MoDSE,Heterogeneous,1.0,1.0
1,date2-overall-MoDSE,MoDSE,e07794dc1157c14f68e2b4aa0f780214e54c35cce361b81e07d6242ac4bc68c7,Dynamic-NaivePF,measured:layer_guarded_dynamic_mapping,24,1572864,384.0,1,32,88016,1024,0,13437,959,13,0,0,103449,2658,0.8865910607071381,0.6131393991123266,0.3333333333333333,0.0,2.171497283132735,32,98,1474560,1.0,1.0,0.4285714285714285,0.5714285714285714,0.0,2994948096,48921,98,0,65536,True,,98,85,MoDSE,Heterogeneous,0.5648259369267057,1.7704569401347523
1,date2-overall-MoDSE,MoDSE,e07794dc1157c14f68e2b4aa0f780214e54c35cce361b81e07d6242ac4bc68c7,MemDomain-Raw,measured:adaptive_window=8,24,1572864,384.0,1,32,88016,1024,0,0,817,0,0,0,89857,2666,0.8892595063375583,0.5147977419729094,0.2916666666666667,0.0,2.193795340201932,24,98,1474560,1.0,1.0,1.0,0.0,0.0,10936887296,44712,98,0,131072,False,,98,98,MoDSE,Heterogeneous,0.4906143531056172,2.0382607921475233
1,date2-overall-MoDSE,MoDSE,e07794dc1157c14f68e2b4aa0f780214e54c35cce361b81e07d6242ac4bc68c7,MemDomain-Safe,measured:adaptive_window=8,24,1572864,384.0,1,32,88016,1024,0,0,758,0,0,0,89798,2670,0.8905937291527685,0.635265884808645,0.3333333333333333,0.0,2.193795340201932,32,98,1474560,1.0,1.0,1.0,0.0,0.0,10938345472,44968,98,0,131072,True,Online-Guarded-Full,1,1,MoDSE,Heterogeneous,0.4902922163012143,2.039599991091116
1,date2-overall-MoDSE,MoDSE,e07794dc1157c14f68e2b4aa0f780214e54c35cce361b81e07d6242ac4bc68c7,Oracle,Dynamic-NaivePF|Dynamic-NoPF|MemDomain-Raw|MemDomain-Safe|Static-NaivePF|Static-NoPF,24,1572864,384.0,1,32,88016,1024,0,0,758,0,0,0,89798,2670,0.8905937291527685,0.635265884808645,0.3333333333333333,0.0,2.193795340201932,32,98,1474560,1.0,1.0,1.0,0.0,0.0,10938345472,44968,98,0,131072,False,MemDomain-Safe,1,1,MoDSE,Heterogeneous,0.4902922163012143,2.039599991091116
1,date2-overall-Switchtrans,Switchtrans,44fc1465d3a3ecf7adabd032b8e1a67faef673b35ee9bbfdd98433405f923475,Static-NoPF,exhaustive_cyclic_static_weight_groups:15:16:17:18:19:20:21:22,24,1572864,384.0,1,32,114944,1024,148336,0,856,0,0,0,265160,4031,0.9119909502262444,0.7415974868925695,0.3333333333333333,0.0,2.4377587634557,29,0,0,0.0,0.0,0.0,0.0,0.0,0,73248,144,0,65536,False,,0,0,Switchtrans,Homogeneous,1.0,1.0
1,date2-overall-Switchtrans,Switchtrans,44fc1465d3a3ecf7adabd032b8e1a67faef673b35ee9bbfdd98433405f923475,Static-NaivePF,exhaustive_cyclic_static_weight_groups:0:1:2:3:4:5:6:7,24,1572864,384.0,1,32,114944,1024,0,20880,800,0,0,0,137648,4041,0.9142533936651585,0.7540391605399263,0.3333333333333333,0.0,2.450610432852386,32,144,2359296,1.0,1.0,0.5,0.5,0.0,4102553600,75808,144,0,81920,False,,0,0,Switchtrans,Homogeneous,0.5191129883843717,1.9263628966639543
1,date2-overall-Switchtrans,Switchtrans,44fc1465d3a3ecf7adabd032b8e1a67faef673b35ee9bbfdd98433405f923475,Dynamic-NoPF,incumbent_static_mapping|exhaustive_cyclic_static_weight_groups:15:16:17:18:19:20:21:22,24,1572864,384.0,1,32,114944,1024,148336,0,856,0,0,0,265160,4031,0.9119909502262444,0.7415974868925695,0.3333333333333333,0.0,2.4377587634557,29,0,0,0.0,0.0,0.0,0.0,0.0,0,73248,144,0,65536,False,,0,0,Switchtrans,Homogeneous,1.0,1.0
1,date2-overall-Switchtrans,Switchtrans,44fc1465d3a3ecf7adabd032b8e1a67faef673b35ee9bbfdd98433405f923475,Dynamic-NaivePF,measured:layer_guarded_dynamic_mapping,24,1572864,384.0,1,32,114944,1024,0,20336,768,18,0,0,137090,4037,0.9133484162895928,0.7229624970037392,0.3333333333333333,0.0,2.450610432852386,32,144,2359296,1.0,1.0,0.5,0.5,0.0,4093640704,75808,144,0,65536,True,,144,126,Switchtrans,Homogeneous,0.5170085985819882,1.9342038077175578
1,date2-overall-Switchtrans,Switchtrans,44fc1465d3a3ecf7adabd032b8e1a67faef673b35ee9bbfdd98433405f923475,MemDomain-Raw,measured:adaptive_window=8,24,1572864,384.0,1,32,114944,1024,0,0,833,0,0,0,116801,4030,0.9117647058823528,0.5648691727133116,0.2916666666666667,0.0,2.4863114927158843,24,144,2359296,1.0,1.0,1.0,0.0,0.0,14919925760,72832,144,0,131072,False,,144,144,Switchtrans,Homogeneous,0.44049253281037865,2.2701860429277145
1,date2-overall-Switchtrans,Switchtrans,44fc1465d3a3ecf7adabd032b8e1a67faef673b35ee9bbfdd98433405f923475,MemDomain-Safe,measured:adaptive_window=8,24,1572864,384.0,1,32,114944,1024,0,0,856,0,0,0,116824,4040,0.9140271493212668,0.7088939498876422,0.3333333333333333,0.0,2.4863114927158843,28,144,2359296,1.0,1.0,1.0,0.0,0.0,14922252288,72832,144,0,131072,True,Online-Guarded-Full,2,2,Switchtrans,Homogeneous,0.4405792728918389,2.269739094706567
1,date2-overall-Switchtrans,Switchtrans,44fc1465d3a3ecf7adabd032b8e1a67faef673b35ee9bbfdd98433405f923475,Oracle,Dynamic-NaivePF|Dynamic-NoPF|MemDomain-Raw|MemDomain-Safe|Static-NaivePF|Static-NoPF,24,1572864,384.0,1,32,114944,1024,0,0,833,0,0,0,116801,4030,0.9117647058823528,0.5648691727133116,0.2916666666666667,0.0,2.4863114927158843,24,144,2359296,1.0,1.0,1.0,0.0,0.0,14919925760,72832,144,0,131072,False,MemDomain-Raw,144,144,Switchtrans,Homogeneous,0.44049253281037865,2.2701860429277145
