category,layers,compute_total,stall_total,total_cycles,compute_mean,stall_mean,stall_ratio_mean,conflict_rate_mean,imbalance_mean
MoE Expert,16,46800,12416,59216,2925.0,776.0,0.23851816634318151,0.8191616678046448,0.5132861122962138
Non-MoE,7,41152,11776,52928,5878.857142857143,1682.2857142857142,0.3514739229024943,0.934753794507239,0.818527993620523
