Layer,M,N,K,

MoE-E0-FF1,32,1728,384,
MoE-E0-FF2,32,384,1728,

MoE-E1-FF1,48,192,384,
MoE-E1-FF2,48,384,192,

MoE-E2-FF1,50,1536,384,
MoE-E2-FF2,50,384,1536,

MoE-E3-FF1,24,384,384,
MoE-E3-FF2,24,384,384,

MoE-E4-FF1,34,1152,384,
MoE-E4-FF2,34,384,1152,

MoE-E5-FF1,28,768,384,
MoE-E5-FF2,28,384,768,

MoE-E6-FF1,20,960,384,
MoE-E6-FF2,20,384,960,

MoE-E7-FF1,18,960,384,
MoE-E7-FF2,18,384,960,
