layer,layer_type,ia_banks,weight_banks,oa_banks,total_cycles,memory_service_cycles,memory_stall_cycles,bank_conflict_count,bank_conflict_rate,hotspot_bank_ratio,idle_bank_ratio,max_bank_pressure,max_queue_depth,total_cycles_best,slowdown,ratio
MoE-E0-FF2,Expert-FF2,3,8,4,22560,22560,17160,26388,0.8431748466257669,0.2,0.2,1.375,1,21612,1.0438645197112715,3:8:4
MoE-E1-FF1,Expert-FF1,3,8,4,3690,3690,2664,4194,0.8825757575757576,0.2,0.2,2.0,1,3528,1.0459183673469388,3:8:4
MoE-E1-FF2,Expert-FF2,3,8,4,3600,3600,2412,4302,0.8786764705882353,0.1333333333333333,0.1333333333333333,1.5,1,3456,1.0416666666666667,3:8:4
MoE-E2-FF1,Expert-FF1,3,8,4,31320,31320,22392,37584,0.8097207859358841,0.1333333333333333,0.1333333333333333,1.25,1,30312,1.0332541567695963,3:8:4
MoE-E2-FF2,Expert-FF2,3,8,4,31590,31590,23958,36936,0.8114948589506986,0.2,0.2,1.6666666666666667,1,30474,1.0366213821618429,3:8:4
MoE-E3-FF1,Expert-FF1,3,8,4,3744,3744,2664,4200,0.8333333333333334,0.1333333333333333,0.1333333333333333,1.25,1,3618,1.0348258706467661,3:8:4
MoE-E3-FF2,Expert-FF2,3,8,4,3744,3744,2664,4200,0.8333333333333334,0.1333333333333333,0.1333333333333333,1.25,1,3618,1.0348258706467661,3:8:4
MoE-E4-FF1,Expert-FF1,3,8,4,16110,16110,11466,19224,0.7958271236959762,0.1333333333333333,0.1333333333333333,1.25,1,15642,1.0299194476409665,3:8:4
MoE-E4-FF2,Expert-FF2,3,8,4,16170,16170,12174,18936,0.7973724103082365,0.2,0.2,1.3333333333333333,1,15654,1.032962821004216,3:8:4
MoE-E5-FF1,Expert-FF1,3,8,4,8628,8628,6180,10464,0.8226415094339623,0.1333333333333333,0.1333333333333333,1.25,1,8376,1.0300859598853869,3:8:4
MoE-E5-FF2,Expert-FF2,3,8,4,8706,8706,6474,10344,0.8240917782026769,0.1333333333333333,0.1333333333333333,1.25,1,8436,1.0320056899004268,3:8:4
MoE-E6-FF1,Expert-FF1,3,8,4,8280,8280,5850,9825,0.7769869513641756,0.2,0.2,1.375,1,8130,1.018450184501845,3:8:4
MoE-E6-FF2,Expert-FF2,3,8,4,8280,8280,6174,9708,0.779383429672447,0.2,0.2,1.375,1,8100,1.0222222222222221,3:8:4
MoE-E7-FF1,Expert-FF1,3,8,4,7605,7605,5355,8910,0.7605633802816901,0.2666666666666666,0.2666666666666666,1.5,1,7455,1.0201207243460764,3:8:4
MoE-E7-FF2,Expert-FF2,3,8,4,7578,7578,5652,8802,0.7624740124740125,0.2666666666666666,0.2666666666666666,1.5,1,7392,1.0251623376623376,3:8:4
Attn_Q_proj,Non-MoE,2,6,7,40416,40416,29472,43848,0.9098605577689244,0.2666666666666666,0.2666666666666666,3.0,1,37512,1.0774152271273192,2:6:7
Attn_K_proj,Non-MoE,2,6,7,40416,40416,29472,43848,0.9098605577689244,0.2666666666666666,0.2666666666666666,3.0,1,37512,1.0774152271273192,2:6:7
Attn_V_proj,Non-MoE,2,6,7,40416,40416,29472,43848,0.9098605577689244,0.2666666666666666,0.2666666666666666,3.0,1,37512,1.0774152271273192,2:6:7
QKT_head,Non-MoE,2,6,7,7808,7808,3456,10704,0.8621134020618557,0.4,0.4,1.8571428571428568,1,7144,1.0929451287793952,2:6:7
