category,layers,compute_total,critical_bank_total,stall_total,total_cycles,compute_mean,critical_bank_mean,stall_mean,stall_ratio_mean,conflict_rate_mean,imbalance_mean
MoE Expert,16,54522,43176,145602,200124,3407.625,2698.5,9100.125,0.7199690996915994,0.8255270605120657,0.6291071043298404
Non-MoE,7,51520,36336,120800,172320,7360.0,5190.857142857143,17257.14285714286,0.6706651743616886,0.86343777989481,1.0024951308425258
