Layer,M,N,K,
Attn_Q_proj,256,96,96,
Attn_K_proj,256,96,96,
Attn_V_proj,256,96,96,
QKT_head,256,128,16,
QKTV_head,256,16,128,
Attn_O_proj,256,96,96,
Router_logits,256,8,96,
MoE-E0-FF1,74,432,96,
MoE-E0-FF2,74,96,224,
MoE-E1-FF1,49,528,96,
MoE-E1-FF2,49,96,272,
MoE-E2-FF1,30,624,96,
MoE-E2-FF2,30,96,320,
MoE-E3-FF1,36,720,96,
MoE-E3-FF2,36,96,368,
MoE-E4-FF1,18,816,96,
MoE-E4-FF2,18,96,416,
MoE-E5-FF1,17,912,96,
MoE-E5-FF2,17,96,464,
MoE-E6-FF1,14,1008,96,
MoE-E6-FF2,14,96,512,
MoE-E7-FF1,18,1104,96,
MoE-E7-FF2,18,96,560,
